,Jurisdiction of Occurrence,MMWR Year,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",Population
22,Arizona,2018,0.008311651371942872,0.007414895507475247,1.8301140091176e-05,0.001694182640348789,0.0002840169298119146,0.0004214850355349465,0.00014948259463784977,0.0005379976373367846,0.00012629183696506187,8.549845599847109e-05,0.0001582839062847512,0.0017643137268050512,0.00039326495692107205,0.0,0.0,7158024.0
23,Arizona,2019,0.008305035076923584,0.007384405795691741,1.621164828911469e-05,0.001729563053488685,0.0002985416248495442,0.0004202663738678121,0.00012969318631291752,0.0005039349654616329,0.00012254907011771443,0.00010125410838201294,0.00013010534686264076,0.0017380810381829655,0.00039155252223709204,0.0,0.0,7278717.0
24,Arizona,2020,0.010942736225201363,0.009829543500092708,2.7546660827333894e-05,0.0018323423526973774,0.00036481846750514786,0.00046437797262728863,0.00016080538046413188,0.0005305179247660142,0.00015898758051105906,0.00010962732024685165,0.00015143671916752592,0.0020588681930033717,0.000461022034252385,0.001338879580820924,0.001231909045120871,7151502.0
25,Arizona,2021,0.011360023244712865,0.010175926502431702,5.243896533355471e-05,0.0017909497817349134,0.0003503310296162547,0.00038090889594531957,0.00012950625739368657,0.00048800060879009883,0.00014984538115102837,0.000117192094030398,0.00012272654947457264,0.0020332205688036583,0.0004560391285999903,0.001915475029228843,0.0017677050688693799,7227450.0
26,Arizona,2022,0.007387807020421255,0.006585298062895914,3.091245605942859e-05,0.0012933285655257001,0.0002367705149704705,0.00026889787104970197,8.423306803966568e-05,0.0003393620721982684,0.00011163581293077486,8.058836798025706e-05,0.00018048014738627084,0.001422512934298072,0.00032397333861409875,0.0006591507551886017,0.0005386056754459391,7408017.0
27,Arkansas,2014,0.010281081838867261,0.009513404363157951,0.00011929667532971713,0.0022282192578533607,0.00027599993529671846,0.00040810246843019055,0.00020219775479613075,0.0007242049584281416,5.2571416246993994e-05,0.00019646881841024036,6.470328153476183e-05,0.002555442624365099,0.0005267251512439206,0.0,0.0,2967392.0
28,Arkansas,2015,0.010352418765580676,0.009553909137797644,9.066341442448207e-05,0.002209836778990802,0.00029482399209146393,0.00048756769534943694,0.0002038247872431875,0.0007508273876042293,3.660115619358721e-05,0.00022162167970428951,2.921376687011089e-05,0.0025896157483022435,0.000532899402561678,0.0,0.0,2978048.0
29,Arkansas,2016,0.010317005349310583,0.009505277402256518,5.685774660040844e-05,0.0021642734014779,0.00029900485565155966,0.0004832908461034717,0.00014314773849985184,0.0007264413271534537,4.381391061560885e-05,0.0002153905224156649,3.6790306623793696e-05,0.0026318447529330236,0.0005137264634013374,0.0,0.0,2989918.0
30,Arkansas,2017,0.010564263688446346,0.009701317242769491,6.130584787820127e-05,0.0021363755249729703,0.0003838279171504775,0.00047445395314434026,0.00018824893506078107,0.000821631635150241,4.198117843833348e-05,0.0002072404205447891,0.0,0.0026917931793912398,0.0005087719005978986,0.0,0.0,3001345.0
31,Arkansas,2018,0.010547114976644107,0.009741063409943672,7.907678189394209e-05,0.002110153957178261,0.0003983742079446914,0.00048243482063026856,0.0001697825023016992,0.0007954193943449469,4.651575405526005e-05,0.00019968548705150921,0.0,0.002674323602791344,0.0004930669929857566,0.0,0.0,3009733.0
32,Arkansas,2019,0.010664377143114662,0.009875724202101926,9.3114065724613e-05,0.002101859497833524,0.00038604230095791507,0.0004943992386516818,0.00014812095152634167,0.0007744041693893971,7.256932524444927e-05,0.00017628712799108227,0.0,0.00282523318280445,0.00048777190301291934,0.0,0.0,3017804.0
